Clinic Name,Exact Item Name (Inventory),Fuzzy Item Name (Clinic-Requested),SKU ID,Season (Needed By),Frequency,Volume
Clinic 2,PREP SOLUTION CHLORAPREP™ HI-LITE ORANGE™ 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,prep solution chloraprep™ hi-lite orange™ 10.5 ml applicator 2% / 70% strength chg (chlorhexidine gluconate) / isopropyl alcohol sterile,BD-930715,Fall–Spring,As Needed,47
Clinic 2,PREP SOLUTION CHLORAPREP™ CLEAR 1 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,prep-solution-chloraprep™-clear-1-ml-applicator-2%-/-70%-strength-chg-(chlorhexidine-gluconate)-/-isopropyl-alcohol-sterile,BD-930480NSB,Fall–Spring,As Needed,43
Clinic 2,TOOTHPASTE - INDIVIDUALLY BOXED,othpast---individually-boxed,DK-RTP27B,Fall–Spring,Ongoing,72
Clinic 2,GEHA OPEN SEASON TOOTHBRUSH 2022,geha open season toothbrush 2022,OS-11870-TBS22,Fall–Spring,Ongoing,90
Clinic 2,TOOTHPASTE - INDIVIDUALLY BOXED,tothpaste - individally boxed,DK-RTP27B,Fall–Spring,Ongoing,116
Clinic 2,PREP SOLUTION CHLORAPREP™ HI-LITE ORANGE™ 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,prep  solution  chloraprep™  hi-lite  orange™  10.5  ml  applicator  2%  /  70%  strength  chg  (chlorhexidine  gluconate)  /  isopropyl  alcohol  sterile,BD-930715,Fall–Spring,Ongoing,45
Clinic 2,ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,aloe and vitamin e cornstarch powder 22oz,KEN-381371178650,Fall–Spring,As Needed,49
Clinic 2,,mouth care bundle,,Fall–Spring,As Needed,29
Clinic 2,LIGHTWEIGHT FABRIC FACE COVER NOT A MEDICAL MASK SINGLE USE,lightweight fabric face cover not a medical mask single use,BC-ST323,Fall–Spring,Ongoing,32
Clinic 2,,oral hygiene set,,Fall–Spring,Ongoing,5
Clinic 2,ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,aloe and vitamin e cornstarch powder 22oz,KEN-381371178650,Fall–Spring,Ongoing,38
Clinic 2,PREP SOLUTION CHLORAPREP™ CLEAR 3 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,prep solution chloraprep™ clear 3 ml applicator 2% / 70% strength chg (chlorhexidine gluconate) / isopropyl alcohol sterile,BD-930400,Fall–Spring,As Needed,11
Clinic 2,PREP SOLUTION CHLORAPREP™ HI-LITE ORANGE™ 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,prep solution chloraprep™ hi-lite orange™ 10.5 ml applicator 2% / 70% strength chg (chlorhexidine gluconate) / isopropyl alcohol sterile,BD-930715,Fall–Spring,Ongoing,17
Clinic 2,SYRINGE 60ML LL LATEX FREE CONFIGURE,syringe 60ml ll latex free configure,BD-309653,Fall–Spring,As Needed,35
Clinic 2,SYRINGE 60ML LL LATEX FREE CONFIGURE,syringe 60ml ll latex free configure,BD-309653,Fall–Spring,As Needed,48
Clinic 2,LIGHTWEIGHT FABRIC FACE COVER NOT A MEDICAL MASK SINGLE USE,lightweight fabric face cover not a medical maks single use,BC-ST323,Fall–Spring,Ongoing,70
Clinic 2,,oral hygiene set,,Fall–Spring,As Needed,14
Clinic 2,PREP SOLUTION CHLORAPREP™ HI-LITE ORANGE™ 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,prep solution chloraprep™ hi-lite orange™ 10.5 ml applicator 2% / 70% strength chg (chlorhexidine gluconate) / isopropyl alcohol sterile,BD-930715,Fall–Spring,As Needed,11
Clinic 2,PREP SOLUTION CHLORAPREP™ HI-LITE ORANGE™ 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,prep solution chloraprep™ hi-lite orange™ 10.5 ml pplicator 2% / 70% strength chg (chlorhexidine gluconate) / isopropyl alcohol sterile,BD-930715,Fall–Spring,Ongoing,24
Clinic 2,,mouth care bundle,,Fall–Spring,As Needed,13
Clinic 2,PREP SOLUTION CHLORAPREP™ HI-LITE ORANGE™ 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,prep solution chloraprep™ hi-lite orange™ 10.5 ml applicator 2% / 70% strength chg (chlorhexidine gluconate) / isopropyl alcohol sterile,BD-930715,Fall–Spring,As Needed,27
Clinic 2,,dental cleaning kit,,Fall–Spring,Ongoing,21
Clinic 2,,mouth care bundle,,Fall–Spring,Ongoing,17
Clinic 2,PREP SOLUTION CHLORAPREP™ HI-LITE ORANGE™ 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,prep  solution  chloraprep™  hi-lite  orange™  10.5  ml  applicator  2%  /  70%  strength  chg  (chlorhexidine  gluconate)  /  isopropyl  alcohol  sterile,BD-930715,Fall–Spring,As Needed,11
Clinic 2,,mouth care bundle,,Fall–Spring,As Needed,17
Clinic 2,LIGHTWEIGHT FABRIC FACE COVER NOT A MEDICAL MASK SINGLE USE,lightweight fabric face cover not a medical maks single use,BC-ST323,Fall–Spring,As Needed,93
Clinic 2,ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,aloe and vitamin e cornstarch powder 22oz,KEN-381371178650,Fall–Spring,Ongoing,72
Clinic 2,,oral hygiene set,,Fall–Spring,As Needed,15
Clinic 2,PREP SOLUTION CHLORAPREP™ HI-LITE ORANGE™ 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,prep solution chloraprep™ hi-lite orange™ 10.5 ml applicator 2% / 70% strength chg (chlorhexidine gluconate) / isopropyl alcohol sterile,BD-930715,Fall–Spring,Ongoing,31
Clinic 2,,oral hygiene set,,Fall–Spring,As Needed,15
Clinic 2,"NITRILE GLOVES, POWDER FREE, NON STERILE SIZE LARGE AMBIDEXTROUS ASST COLORS","nitrile golves, powder free, non sterile size large ambidextrous asst colors",GEN-EG-NITRILE-LG,Fall–Spring,As Needed,28
Clinic 2,PREP SOLUTION CHLORAPREP™ HI-LITE ORANGE™ 3 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,prep-solution-chloraprep™-hi-lite-orange™-3-ml-applicator-2%-/-70%-strength-chg-(chlorhexidine-gluconate)-/-isopropyl-alcohol-sterile,BD-930415,Fall–Spring,As Needed,24
Clinic 2,SYRINGE 60ML LL LATEX FREE CONFIGURE,syringe 60ml ll latex free configure,BD-309653,Fall–Spring,As Needed,39
Clinic 2,LIGHTWEIGHT FABRIC FACE COVER NOT A MEDICAL MASK SINGLE USE,lightweight fabric face cover not a medical msk single use,BC-ST323,Fall–Spring,Ongoing,76
Clinic 2,,mouth care bundle,,Fall–Spring,As Needed,22
Clinic 2,LIGHTWEIGHT FABRIC FACE COVER NOT A MEDICAL MASK SINGLE USE,lightweight fabric face cover not a medical maks single use,BC-ST323,Fall–Spring,Ongoing,107
Clinic 2,SAFETY NEEDLE 25G 5/8IN FLIPLOCK,safety needle 25g 5/8in fliplock,HS-SND486,Fall–Spring,Ongoing,18
Clinic 2,GEHA OPEN SEASON TOOTHBRUSH 2022,geha open season tootbrh 2022,OS-11870-TBS22,Fall–Spring,Ongoing,43
Clinic 2,,mouth care bundle,,Fall–Spring,Ongoing,20
Clinic 2,SYRINGE 60ML LL LATEX FREE CONFIGURE,syringe 60ml ll latex free configure,BD-309653,Fall–Spring,Ongoing,41
Clinic 2,GEHA OPEN SEASON TOOTHBRUSH 2022,geha open season tootbrush 2022,OS-11870-TBS22,Fall–Spring,Ongoing,86
Clinic 2,PREP SOLUTION CHLORAPREP™ HI-LITE ORANGE™ 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,prep solution chloraprep™ hi-lite orange™ 10.5 ml applicator 2% / 70% strength chg (chlorhexidine gluconate) / isopropyl alcohol sterile,BD-930715,Fall–Spring,As Needed,12
Clinic 2,TOOTHPASTE - INDIVIDUALLY BOXED,totpaste - individually boxed,DK-RTP27B,Fall–Spring,As Needed,74
Clinic 2,GEHA OPEN SEASON TOOTHBRUSH 2022,geha open season toothbrush 2022,OS-11870-TBS22,Fall–Spring,Ongoing,57
Clinic 2,GEHA OPEN SEASON TOOTHBRUSH 2022,geha open seasontootbrsh 2022,OS-11870-TBS22,Fall–Spring,Ongoing,53
Clinic 2,ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,aloe-and-vitamin-e-cornstarch-powder-22oz,KEN-381371178650,Fall–Spring,As Needed,73
Clinic 2,,dental cleaning kit,,Fall–Spring,Ongoing,16
Clinic 2,PREP SOLUTION CHLORAPREP™ SCRUB TEAL™ 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL,prep solution chloraprep™ scrub teal™ 10.5 ml applicator 2% / 70% strength chg (chlorhexidine gluconate) / isopropyl alcohol,BD-930725,Fall–Spring,Ongoing,28
Clinic 2,PREP SOLUTION CHLORAPREP™ HI-LITE ORANGE™ 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,prep solution chloraprep™ hi-lite orange™ 10.5 ml applicator 2% / 70% strength chg (chlorhexidine gluconate) / isopropyl alcohol sterile,BD-930715,Fall–Spring,Ongoing,19
Clinic 2,SYRINGE 60ML LL LATEX FREE CONFIGURE,syringe  60ml  ll  latex  free  configure,BD-309653,Fall–Spring,Ongoing,25
Clinic 2,,oral hygiene set,,Fall–Spring,Ongoing,22
Clinic 2,"NITRILE GLOVES, POWDER FREE, NON STERILE SIZE LARGE AMBIDEXTROUS ASST COLORS","nitrile glovs, powder free, non sterile size large ambidextrous asst colors",GEN-EG-NITRILE-LG,Fall–Spring,Ongoing,29
Clinic 2,PREP SOLUTION CHLORAPREP™ CLEAR 1 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,prep solution chloraprep™ clear 1 ml applicator 2% / 70% strength chg (chlorhexidine gluconate) / isopropyl alcohol sterile,BD-930480NSB,Fall–Spring,As Needed,30
Clinic 2,GEHA OPEN SEASON TOOTHBRUSH 2022,geha open season tootbrush 2022,OS-11870-TBS22,Fall–Spring,Ongoing,50
Clinic 2,SAFETY NEEDLE 25G 5/8IN FLIPLOCK,safety needle 25g 5/8in fliplock,HS-SND486,Fall–Spring,As Needed,32
Clinic 2,,dental cleaning kit,,Fall–Spring,As Needed,26
Clinic 2,LIGHTWEIGHT FABRIC FACE COVER NOT A MEDICAL MASK SINGLE USE,lightweight fabric face cover not a medical maks single use,BC-ST323,Fall–Spring,Ongoing,32
Clinic 2,TOOTHPASTE - INDIVIDUALLY BOXED,toothast - individually boxed,DK-RTP27B,Fall–Spring,Ongoing,30
Clinic 2,LIGHTWEIGHT FABRIC FACE COVER NOT A MEDICAL MASK SINGLE USE,lightweight fabric face cover not a medical maks single use,BC-ST323,Fall–Spring,As Needed,81
Clinic 2,SAFETY NEEDLE 25G 5/8IN FLIPLOCK,safety needle 25g 5/8in fliplock,HS-SND486,Fall–Spring,Ongoing,45
Clinic 2,PREP SOLUTION CHLORAPREP™ HI-LITE ORANGE™ 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,prep solution chloraprep™ hi-lite orange™ 10.5 ml applicator 2% / 70% strength chg (chlorhexidine gluconate) / isopropyl alcohol sterile,BD-930715,Fall–Spring,Ongoing,28
Clinic 2,SYRINGE 60ML LL LATEX FREE CONFIGURE,syringe 60ml ll latex free configure,BD-309653,Fall–Spring,Ongoing,25
Clinic 2,LIGHTWEIGHT FABRIC FACE COVER NOT A MEDICAL MASK SINGLE USE,lightweight fabric face cover not a medical masc single use,BC-ST323,Fall–Spring,Ongoing,76
Clinic 2,SAFETY NEEDLE 25G 5/8IN FLIPLOCK,safety needle 25g 5/8in fliplock,HS-SND486,Fall–Spring,Ongoing,16
Clinic 2,GEHA OPEN SEASON TOOTHBRUSH 2022,geha-open-season-toothbrush-2022,OS-11870-TBS22,Fall–Spring,Ongoing,115
Clinic 2,,mouth care bundle,,Fall–Spring,As Needed,11
Clinic 2,,mouth care bundle,,Fall–Spring,As Needed,18
Clinic 2,"NITRILE GLOVES, POWDER FREE, NON STERILE SIZE LARGE AMBIDEXTROUS ASST COLORS","nitrile-glovs,-powder-free,-non-sterile-size-large-ambidextrous-asst-colors",GEN-EG-NITRILE-LG,Fall–Spring,As Needed,37
Clinic 2,GEHA OPEN SEASON TOOTHBRUSH 2022,geha open season toothbrush 2022,OS-11870-TBS22,Fall–Spring,Ongoing,93
Clinic 2,SAFETY NEEDLE 25G 5/8IN FLIPLOCK,safety  needle  25g  5/8in  fliplock,HS-SND486,Fall–Spring,Ongoing,39
Clinic 2,,oral hygiene set,,Fall–Spring,As Needed,27
Clinic 2,LIGHTWEIGHT FABRIC FACE COVER NOT A MEDICAL MASK SINGLE USE,lightweight fabric face cover not a medical masc single use,BC-ST323,Fall–Spring,As Needed,64
Clinic 2,ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,aloe and vitamin e cornstarch powder 22oz,KEN-381371178650,Fall–Spring,As Needed,92
Clinic 2,SAFETY NEEDLE 25G 5/8IN FLIPLOCK,safety  needle  25g  5/8in  fliplock,HS-SND486,Fall–Spring,Ongoing,36
Clinic 2,TOOTHPASTE - INDIVIDUALLY BOXED,toopast - individually boxed,DK-RTP27B,Fall–Spring,As Needed,45
Clinic 2,,dental cleaning kit,,Fall–Spring,As Needed,10
Clinic 2,,dental cleaning kit,,Fall–Spring,As Needed,15
Clinic 2,,dental cleaning kit,,Fall–Spring,As Needed,14
Clinic 2,,oral hygiene set,,Fall–Spring,As Needed,7
Clinic 2,,mouth care bundle,,Fall–Spring,As Needed,20
Clinic 2,GEHA OPEN SEASON TOOTHBRUSH 2022,geha open season tothbru sh 2022,OS-11870-TBS22,Fall–Spring,Ongoing,42
Clinic 2,SYRINGE 60ML LL LATEX FREE CONFIGURE,syringe 60ml ll latex free configure,BD-309653,Fall–Spring,As Needed,39
Clinic 2,,oral hygiene set,,Fall–Spring,As Needed,16
Clinic 2,TOOTHPASTE - INDIVIDUALLY BOXED,toothpste - individually boxed,DK-RTP27B,Fall–Spring,Ongoing,117
Clinic 2,PREP SOLUTION CHLORAPREP™ CLEAR 1 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,prep solution chloraprep™ clear 1 ml applicator 2% / 70% strength chg (chlorhexidine gluconate) / isopropyl alcohol sterile,BD-930480NSB,Fall–Spring,As Needed,19
Clinic 2,TOOTHPASTE - INDIVIDUALLY BOXED,toothpste - individually boxed,DK-RTP27B,Fall–Spring,As Needed,101
Clinic 2,"NITRILE GLOVES, POWDER FREE, NON STERILE SIZE LARGE AMBIDEXTROUS ASST COLORS","nitrile gloves, powder free, non sterile size large ambidextrous asst colors",GEN-EG-NITRILE-LG,Fall–Spring,As Needed,37
Clinic 2,,mouth care bundle,,Fall–Spring,Ongoing,6
Clinic 2,PREP SOLUTION CHLORAPREP™ HI-LITE ORANGE™ 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,prep solution chloraprep™ hi-lite orange™ 10.5 ml applicator 2% / 70% strength chg (chlorhexidine gluconate) / isopropyl alcohol sterile,BD-930715,Fall–Spring,Ongoing,48
Clinic 2,ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,aloe  and  vitamin  e  cornstarch  powder  22oz,KEN-381371178650,Fall–Spring,Ongoing,86
Clinic 2,,oral hygiene set,,Fall–Spring,Ongoing,13
Clinic 2,,oral hygiene set,,Fall–Spring,As Needed,21
Clinic 2,PREP SOLUTION CHLORAPREP™ CLEAR 1 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,prep solution chloraprep™ clear 1 ml applicator 2% / 70% strength chg (chlorhexidine gluconate) / isopropyl alcohol sterile,BD-930480NSB,Fall–Spring,As Needed,30
Clinic 2,GEHA OPEN SEASON TOOTHBRUSH 2022,geha open season toothbrsh 2022,OS-11870-TBS22,Fall–Spring,As Needed,93
Clinic 2,SYRINGE 60ML LL LATEX FREE CONFIGURE,syringe-60ml-ll-latex-free-configure,BD-309653,Fall–Spring,As Needed,34
Clinic 2,,oral hygiene set,,Fall–Spring,As Needed,9
Clinic 2,,dental cleaning kit,,Fall–Spring,As Needed,23
Clinic 2,PREP SOLUTION CHLORAPREP™ HI-LITE ORANGE™ 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,prep solution chloraprep™ hi-lite orange™ 10.5 ml applicator 2% / 70% strength chg (chlorhexidine gluconate) / isopropyl alcohol sterile,BD-930715,Fall–Spring,As Needed,11
Clinic 2,,oral hygiene set,,Fall–Spring,As Needed,18
Clinic 2,SAFETY NEEDLE 25G 5/8IN FLIPLOCK,safety  needle  25g  5/8in  fliplock,HS-SND486,Fall–Spring,Ongoing,27
Clinic 2,,dental cleaning kit,,Fall–Spring,As Needed,20
Clinic 2,TOOTHPASTE - INDIVIDUALLY BOXED,tthpast - individually boxed,DK-RTP27B,Fall–Spring,Ongoing,119
Clinic 2,GEHA OPEN SEASON TOOTHBRUSH 2022,gha open season toothbru sh 2022,OS-11870-TBS22,Fall–Spring,Ongoing,65
Clinic 2,,mouth care bundle,,Fall–Spring,As Needed,10
Clinic 2,,dental cleaning kit,,Fall–Spring,As Needed,14
Clinic 2,,mouth care bundle,,Fall–Spring,As Needed,11
Clinic 2,TOOTHPASTE - INDIVIDUALLY BOXED,tootpast---individually-boxed,DK-RTP27B,Fall–Spring,As Needed,84
Clinic 2,"NITRILE GLOVES, POWDER FREE, NON STERILE SIZE LARGE AMBIDEXTROUS ASST COLORS","nitrile gloves, powder free, non sterile size large ambidextrous asst colors",GEN-EG-NITRILE-LG,Fall–Spring,Ongoing,26
Clinic 2,PREP SOLUTION CHLORAPREP™ HI-LITE ORANGE™ 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,prep  solution  chloraprep™  hi-lite  orange™  10.5  ml  applicator  2%  /  7%  strength  chg  (chlorhexidine  gluconate)  /  isopropyl  alcohol  sterile,BD-930715,Fall–Spring,As Needed,26
Clinic 2,GEHA OPEN SEASON TOOTHBRUSH 2022,geha open season toothbrsh 2022,OS-11870-TBS22,Fall–Spring,As Needed,54
Clinic 2,LIGHTWEIGHT FABRIC FACE COVER NOT A MEDICAL MASK SINGLE USE,lightweight fabric face cover not a medical mask single use,BC-ST323,Fall–Spring,As Needed,98
Clinic 2,GEHA OPEN SEASON TOOTHBRUSH 2022,eha open season toothbrush 2022,OS-11870-TBS22,Fall–Spring,Ongoing,71
Clinic 2,PREP SOLUTION CHLORAPREP™ CLEAR 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,prep soluion chloraprep™ clear 10.5 ml applicator 2% / 70% strength chg (chlorhexidine gluconate) / isopropyl alcohol sterile,BD-930700,Fall–Spring,Ongoing,48
Clinic 2,ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,aoe and vitamin e cornstarch powder 22oz,KEN-381371178650,Fall–Spring,Ongoing,70
Clinic 9,,urgent wound kit,,Winter–Spring,As Needed,43
Clinic 9,"NITRILE GLOVES, POWDER FREE, NON STERILE SIZE LARGE AMBIDEXTROUS ASST COLORS","nitrile glovs, powder free, non sterile size large ambidextrous asst colors",GEN-EG-NITRILE-LG,Winter–Spring,As Needed,49
Clinic 9,TOOTHPASTE - INDIVIDUALLY BOXED,toothpaste - individually boxed,DK-RTP27B,Winter–Spring,Ongoing,82
Clinic 9,GEHA OPEN SEASON TOOTHBRUSH 2022,geha open season tothbru sh 2022,OS-11870-TBS22,Winter–Spring,As Needed,87
Clinic 9,LIGHTWEIGHT FABRIC FACE COVER NOT A MEDICAL MASK SINGLE USE,lightweight fabric face cover not a medical maks single use,BC-ST323,Winter–Spring,As Needed,39
Clinic 9,,first-aid refill,,Winter–Spring,As Needed,46
Clinic 9,ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,aloe and vitamin e cornstarch powder 22oz,KEN-381371178650,Winter–Spring,As Needed,62
Clinic 9,GEHA OPEN SEASON TOOTHBRUSH 2022,geha open season toothbru sh 2022,OS-11870-TBS22,Winter–Spring,Ongoing,88
Clinic 9,PREP SOLUTION CHLORAPREP™ HI-LITE ORANGE™ 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,prep solution chloraprep™ hi-lite orange™ 10.5 ml applicator 2% / 70% strength chg (chlorhexidine gluconate) / isopropyl alcohol sterile,BD-930715,Winter–Spring,Ongoing,37
Clinic 9,PREP SOLUTION CHLORAPREP™ HI-LITE ORANGE™ 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,prep-soluton-chloraprep™-hi-lite-orange™-10.5-ml-applicator-2%-/-70%-strength-chg-(chlorhexidine-gluconate)-/-isopropyl-alcohol-sterile,BD-930715,Winter–Spring,As Needed,45
Clinic 9,SAFETY NEEDLE 25G 5/8IN FLIPLOCK,safety needle 25g 5/8in fliplock,HS-SND486,Winter–Spring,As Needed,46
Clinic 9,LIGHTWEIGHT FABRIC FACE COVER NOT A MEDICAL MASK SINGLE USE,lightweight-fabric-face-cover-not-a-medical-maks-single-use,BC-ST323,Winter–Spring,Ongoing,119
Clinic 9,SYRINGE 60ML LL LATEX FREE CONFIGURE,syringe 60ml ll latex fee configure,BD-309653,Winter–Spring,As Needed,30
Clinic 9,,field bandage bundle,,Winter–Spring,Ongoing,30
Clinic 9,,first-aid refill,,Winter–Spring,As Needed,48
Clinic 9,PREP SOLUTION CHLORAPREP™ CLEAR 1 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,prep solution chloraprep™ clear 1 ml applicator 2% / 70% strength chg (chlorhexidine gluconate) / isopropyl alcohol sterile,BD-930480NSB,Winter–Spring,As Needed,24
Clinic 9,PREP SOLUTION CHLORAPREP™ HI-LITE ORANGE™ 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,prep-solution-chloraprep™-hi-lite-orange™-10.5-ml-applicator-2%-/-70%-strength-chg-(chlorhexidine-gluconate)-/-ispropyl-alcohol-sterile,BD-930715,Winter–Spring,Ongoing,49
Clinic 9,PREP SOLUTION CHLORAPREP™ HI-LITE ORANGE™ 3 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,prep-solution-chloraprep™-hi-lite-orange™-3-ml-applicator-2%-/-70%-strength-chg-(chlorhexidine-gluconate)-/-isopropyl-alcohol-sterile,BD-930415,Winter–Spring,As Needed,11
Clinic 9,PREP SOLUTION CHLORAPREP™ CLEAR 1 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,prep solution chloraprep™ clear 1 ml applicator 2% / 70% strength chg (chlorhexidine gluconate) / isopropyl alcohol sterie,BD-930480NSB,Winter–Spring,As Needed,17
Clinic 9,LIGHTWEIGHT FABRIC FACE COVER NOT A MEDICAL MASK SINGLE USE,lightweight fabric face cover not a medical masc single use,BC-ST323,Winter–Spring,As Needed,30
Clinic 9,ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,aloe  and  vitamin  e  cornstarch  powder  22oz,KEN-381371178650,Winter–Spring,Ongoing,32
Clinic 9,,field bandage bundle,,Winter–Spring,As Needed,19
Clinic 9,,first-aid refill,,Winter–Spring,As Needed,48
Clinic 9,,urgent wound kit,,Winter–Spring,As Needed,19
Clinic 9,,field bandage bundle,,Winter–Spring,As Needed,23
Clinic 9,GEHA OPEN SEASON TOOTHBRUSH 2022,geha open season tothbrsh 2022,OS-11870-TBS22,Winter–Spring,Ongoing,45
Clinic 9,GEHA OPEN SEASON TOOTHBRUSH 2022,geha open season tootbrsh 2022,OS-11870-TBS22,Winter–Spring,Ongoing,57
Clinic 9,GEHA OPEN SEASON TOOTHBRUSH 2022,geha open season tothbru sh 2022,OS-11870-TBS22,Winter–Spring,As Needed,93
Clinic 9,PREP SOLUTION CHLORAPREP™ CLEAR 3 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,prep solution chloraprep™ clear 3 ml applicator 2% / 70% strength chg (chlorhexidine gluconate) / isopropyl alcohol sterile,BD-930400,Winter–Spring,As Needed,21
Clinic 9,ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,aloe and vitamin e cornstarch powder 22oz,KEN-381371178650,Winter–Spring,As Needed,77
Clinic 9,GEHA OPEN SEASON TOOTHBRUSH 2022,geha-open-season-toothbru-sh-2022,OS-11870-TBS22,Winter–Spring,Ongoing,110
Clinic 9,PREP SOLUTION CHLORAPREP™ SCRUB TEAL™ 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL,prep  solution  chloraprep™  scrub  teal™  10.5  ml  applicator  2%  /  70%  strength  chg  (chlorhexidine  gluconate)  /  isopropyl  alcohol,BD-930725,Winter–Spring,Ongoing,44
Clinic 9,PREP SOLUTION CHLORAPREP™ HI-LITE ORANGE™ 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,prep solution chloraprep™ hi-lite orange™ 10.5 ml applicator 2% / 70% strength chg (chlorhexidine gluconate) / isopropyl alcohol sterile,BD-930715,Winter–Spring,Ongoing,26
Clinic 9,PREP SOLUTION CHLORAPREP™ CLEAR 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,prep solution chloraprep™ clear 10.5 ml applicator 2% / 70% strength chg (chlorhexidine gluconate) / isopropyl alcohol sterile,BD-930700,Winter–Spring,Ongoing,36
Clinic 9,ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,aloe and vitamin e cornstarch powder 22oz,KEN-381371178650,Winter–Spring,As Needed,41
Clinic 9,LIGHTWEIGHT FABRIC FACE COVER NOT A MEDICAL MASK SINGLE USE,lightweight  fabric  face  over  not  a  medical  masc  single  use,BC-ST323,Winter–Spring,As Needed,32
