Clinic Name,Exact Item Name (Inventory),Fuzzy Item Name (Clinic-Requested),SKU ID,Season (Needed By),Frequency,Volume
Clinic 9,ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,aloe-and-vitamin-e-cornstarch-powder-22oz,KEN-381371178650,Winter–Spring,Ongoing,89
Clinic 9,,field bandage bundle,,Winter–Spring,As Needed,26
Clinic 9,PREP SOLUTION CHLORAPREP™ SCRUB TEAL™ 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL,prep  solution  chloraprep™  scrub  teal™  10.5  ml  applicator  2%  /  70%  strengt  chg  (chlorhexidine  gluconate)  /  isopropyl  alcohol,BD-930725,Winter–Spring,Ongoing,25
Clinic 9,GEHA OPEN SEASON TOOTHBRUSH 2022,geha open season tootbrush 2022,OS-11870-TBS22,Winter–Spring,Ongoing,32
Clinic 9,PREP SOLUTION CHLORAPREP™ HI-LITE ORANGE™ 3 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,prep solution chloraprep™ hi-lite orange™ 3 ml applicator 2% / 70% strength chg (chlorhexidine gluconate) / isopropyl alcohol sterile,BD-930415,Winter–Spring,Ongoing,15
Clinic 9,PREP SOLUTION CHLORAPREP™ HI-LITE ORANGE™ 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,prep solution chloraprep™ hi-lite orange™ 10.5 ml applicator 2% / 70% strength chg (chlorhexidine gluconate) / isopropyl alcohol sterile,BD-930715,Winter–Spring,Ongoing,8
Clinic 9,CHLORHEXIDINE GLUCONATE 2% W/V AND ISOPROPYL ALCOHOL 70% V/V  NON-STERILE BULK,chlorhexidine gluconate 2% w/v and isopropyl alcohol 70% v/v  non-sterile bulk,BD-930815NSB,Winter–Spring,Ongoing,28
Clinic 9,"SYRINGE  10ML LL STERILE BD LUER-LOK TIP SYRINGE, DISPOSABLE, PRECISIONGLIDE NEEDLE","syringe    10ml  ll  sterile  bd  luer-lok  tip  syringe,  disposable,  precisionglide  needle",BD-309642-20,Winter–Spring,Ongoing,21
Clinic 9,GEHA OPEN SEASON TOOTHBRUSH 2022,geha open season toothbru sh 2022,OS-11870-TBS22,Winter–Spring,Ongoing,42
Clinic 9,"NITRILE EXAM GLOVES, POWDER FREE, NON STERILE SIZE MEDIUM AMBIDEXTROUS 100/CT","nitrile exam glovs, powder free, nonsterile size medium ambidextrous 100/ct",GEN-EG-NITRILE-MD,Winter–Spring,Ongoing,13
Clinic 9,2% W/V CHLORHEXIDINE GLUCONATE (CHG) AND 70% V/V ISOPROPYL ALCOHOL (IPA),2% w/v chlorhexidine gluconate (chg) and 70% v/v isopropyl alcohol (ipa),BD-930100,Winter–Spring,Ongoing,17
Clinic 9,PREP SOLUTION CHLORAPREP™ CLEAR 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,prep solution chloraprep™ clear 10.5 ml applicator 2% / 70% strength chg (chlorhexidine gluconate) / isopropyl alcohol sterile,BD-930700,Winter–Spring,Ongoing,20
Clinic 9,,field bandage bundle,,Winter–Spring,Ongoing,46
Clinic 9,,first-aid refill,,Winter–Spring,Ongoing,44
Clinic 9,SYRINGE 3ML LUER LOK S/C STERILE,syringe 3ml luer lok s/c sterile,BD-309657,Winter–Spring,Ongoing,34
Clinic 9,GEHA OPEN SEASON TOOTHBRUSH 2022,geha open season toothbrsh 2022,OS-11870-TBS22,Winter–Spring,Ongoing,100
Clinic 9,PREP SOLUTION CHLORAPREP™ HI-LITE ORANGE™ 3 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,prep solution chloraprep™ hi-lite orange™ 3 ml applicator 2% / 70% strength chg (chlorhexidine gluconate) / isopropyl alcohol sterile,BD-930415,Winter–Spring,Ongoing,13
Clinic 9,ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,aloe and vitamin e cornstarch powder 22oz,KEN-381371178650,Winter–Spring,Ongoing,25
Clinic 9,ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,aloe and vitamin e cornstarch powder 22oz,KEN-381371178650,Winter–Spring,Ongoing,29
Clinic 9,,field bandage bundle,,Winter–Spring,As Needed,26
Clinic 9,ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,aloe and vitamin e cornstarch powder 22oz,KEN-381371178650,Winter–Spring,Ongoing,75
Clinic 9,,first-aid refill,,Winter–Spring,As Needed,48
Clinic 9,PREP SOLUTION CHLORAPREP™ CLEAR 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,prep solution chloraprep™ clear 10.5 ml applicator 2% / 70% strength chg (chlorhexidine gluconate) / isopropyl alcohol sterile,BD-930700,Winter–Spring,Ongoing,11
Clinic 9,PREP SOLUTION CHLORAPREP™ HI-LITE ORANGE™ 3 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,prep  solution  chloraprep™  hi-lite  orange™  3  ml  applicator  2%  /  70%  strength  chg  (chlorhexidine  gluconate)  /  isopropyl  alcohol  sterile,BD-930415,Winter–Spring,Ongoing,28
Clinic 9,GEHA OPEN SEASON TOOTHBRUSH 2022,geha open season toothbru sh 202,OS-11870-TBS22,Winter–Spring,Ongoing,62
Clinic 9,ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,aloe and vitamin  cornstarch powder 22oz,KEN-381371178650,Winter–Spring,Ongoing,40
Clinic 9,PREP SOLUTION CHLORAPREP™ CLEAR 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,prep solution chloraprep™ clear 10.5 ml applicator 2% / 70% strength chg (chlorhexidine gluconate) / isopropyl alcohol sterile,BD-930700,Winter–Spring,Ongoing,36
Clinic 9,,field bandage bundle,,Winter–Spring,Ongoing,13
Clinic 4,ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,aloe-and-vitamin-e-cornstarch-powder-22oz,KEN-381371178650,Fall–Spring,Ongoing,93
Clinic 4,,travel soap set,,Fall–Spring,Ongoing,89
Clinic 4,ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,aloe and vitamin e cornstarch powder 22oz,KEN-381371178650,Fall–Spring,Ongoing,98
Clinic 4,ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,aloe and vitamin e cornstarch powder 22oz,KEN-381371178650,Fall–Spring,Ongoing,35
Clinic 4,,community hygiene kit,,Fall–Spring,As Needed,33
Clinic 4,ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,aloe and vitamin e cornstarch powder 22oz,KEN-381371178650,Fall–Spring,Ongoing,36
Clinic 4,ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,aloe and vitamin e cornstarch powder 22oz,KEN-381371178650,Fall–Spring,Ongoing,97
Clinic 4,GEHA OPEN SEASON TOOTHBRUSH 2022,geha-open-season-tootbrh-2022,OS-11870-TBS22,Fall–Spring,Ongoing,21
Clinic 4,GEHA OPEN SEASON TOOTHBRUSH 2022,geha open season toothbrsh 2022,OS-11870-TBS22,Fall–Spring,Ongoing,68
Clinic 4,,tooth care bundle,,Fall–Spring,Ongoing,57
Clinic 4,,tooth care bundle,,Fall–Spring,As Needed,94
Clinic 4,GEHA OPEN SEASON TOOTHBRUSH 2022,geha open season toothbru sh 2022,OS-11870-TBS22,Fall–Spring,Ongoing,65
Clinic 4,ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,aloe and vitamin e cornstarch powder 22oz,KEN-381371178650,Fall–Spring,Ongoing,33
Clinic 4,,tooth care bundle,,Fall–Spring,As Needed,51
Clinic 4,ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,aloe and vitamin e cornstarch powder 22oz,KEN-381371178650,Fall–Spring,Ongoing,87
Clinic 4,,travel soap set,,Fall–Spring,Ongoing,25
Clinic 4,GEHA OPEN SEASON TOOTHBRUSH 2022,eha open season toothbru sh 2022,OS-11870-TBS22,Fall–Spring,Ongoing,60
Clinic 4,,travel soap set,,Fall–Spring,As Needed,52
Clinic 4,ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,aloe-and-vitamin-e-cornsarch-powder-22oz,KEN-381371178650,Fall–Spring,Ongoing,56
Clinic 4,,community hygiene kit,,Fall–Spring,As Needed,67
Clinic 4,ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,aloe  and  vitain  e  cornstarch  powder  22oz,KEN-381371178650,Fall–Spring,Ongoing,26
Clinic 4,,travel soap set,,Fall–Spring,As Needed,45
Clinic 4,GEHA OPEN SEASON TOOTHBRUSH 2022,geha open season oothbrush 2022,OS-11870-TBS22,Fall–Spring,Ongoing,93
Clinic 4,ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,aloe and vitamin e cornstarch powder 22oz,KEN-381371178650,Fall–Spring,Ongoing,70
Clinic 4,,community hygiene kit,,Fall–Spring,As Needed,45
Clinic 4,,tooth care bundle,,Fall–Spring,Ongoing,56
Clinic 4,ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,aloe and vitamin e cornstarch powder 22oz,KEN-381371178650,Fall–Spring,Ongoing,80
Clinic 4,GEHA OPEN SEASON TOOTHBRUSH 2022,geha open season toothbrush 2022,OS-11870-TBS22,Fall–Spring,Ongoing,36
Clinic 4,,travel soap set,,Fall–Spring,As Needed,27
Clinic 4,GEHA OPEN SEASON TOOTHBRUSH 2022,geha open season tothbrush 2022,OS-11870-TBS22,Fall–Spring,Ongoing,64
Clinic 4,,tooth care bundle,,Fall–Spring,As Needed,73
Clinic 4,ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,aloe nd vitamin e cornstarch powder 22oz,KEN-381371178650,Fall–Spring,Ongoing,91
Clinic 4,ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,aloe and vitamin e cornstarch powder 22oz,KEN-381371178650,Fall–Spring,Ongoing,80
Clinic 4,GEHA OPEN SEASON TOOTHBRUSH 2022,geha open season tootbrush 2022,OS-11870-TBS22,Fall–Spring,Ongoing,65
Clinic 4,GEHA OPEN SEASON TOOTHBRUSH 2022,geha open season tootbru sh 2022,OS-11870-TBS22,Fall–Spring,Ongoing,35
Clinic 4,ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,aloe  and  vitamin  e  cornstarch  powder  22oz,KEN-381371178650,Fall–Spring,Ongoing,91
Clinic 4,ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,aloe and vitamin e cornstarch powder 22oz,KEN-381371178650,Fall–Spring,Ongoing,67
Clinic 4,GEHA OPEN SEASON TOOTHBRUSH 2022,geha open season tthbrush 2022,OS-11870-TBS22,Fall–Spring,Ongoing,23
Clinic 4,ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,aloe and vitamin e cornstarch powder 22oz,KEN-381371178650,Fall–Spring,Ongoing,96
Clinic 4,ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,aloe and vitamin e cornstarch powder 22oz,KEN-381371178650,Fall–Spring,Ongoing,79
Clinic 4,GEHA OPEN SEASON TOOTHBRUSH 2022,geha open seaso tothbrsh 2022,OS-11870-TBS22,Fall–Spring,Ongoing,87
Clinic 4,,community hygiene kit,,Fall–Spring,As Needed,36
Clinic 4,ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,aloe and vitamin e cornstarch powder 22oz,KEN-381371178650,Fall–Spring,Ongoing,44
Clinic 4,ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,loe and vitamin e cornstarch powder 22oz,KEN-381371178650,Fall–Spring,Ongoing,99
Clinic 4,ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,aloe and vitamin e cornstarch powder 22oz,KEN-381371178650,Fall–Spring,Ongoing,94
Clinic 4,ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,aloe-and-vitamin-e-cornstarch-powder-22oz,KEN-381371178650,Fall–Spring,Ongoing,74
Clinic 4,GEHA OPEN SEASON TOOTHBRUSH 2022,geha open season tootbrush 2022,OS-11870-TBS22,Fall–Spring,Ongoing,33
Clinic 4,GEHA OPEN SEASON TOOTHBRUSH 2022,geha open season tothbru sh 2022,OS-11870-TBS22,Fall–Spring,Ongoing,28
Clinic 4,ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,aloe and vitamin e cornstarch powder 22oz,KEN-381371178650,Fall–Spring,Ongoing,45
Clinic 4,,travel soap set,,Fall–Spring,As Needed,37
Clinic 6,,travel soap set,,Fall–Spring,Ongoing,59
Clinic 6,ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,aloe and vitamin e cornstarch powder 22oz,KEN-381371178650,Fall–Spring,Ongoing,26
Clinic 6,GEHA OPEN SEASON TOOTHBRUSH 2022,geha-open-season-tootbrsh2022,OS-11870-TBS22,Fall–Spring,Ongoing,97
Clinic 6,ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,aloe and vitamin e cornstarch powder 22oz,KEN-381371178650,Fall–Spring,Ongoing,20
Clinic 6,ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,aoe and vitamin e cornstarch powder 22oz,KEN-381371178650,Fall–Spring,Ongoing,29
Clinic 6,GEHA OPEN SEASON TOOTHBRUSH 2022,geha open season toobrush 2022,OS-11870-TBS22,Fall–Spring,Ongoing,79
Clinic 6,GEHA OPEN SEASON TOOTHBRUSH 2022,geha open season toohbru sh 2022,OS-11870-TBS22,Fall–Spring,Ongoing,39
Clinic 6,ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,aloe and vitamin e cornstarch powder 22oz,KEN-381371178650,Fall–Spring,Ongoing,65
Clinic 6,,community hygiene kit,,Fall–Spring,Ongoing,25
Clinic 6,ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,aloe and vitamin e cornstarch powder 22oz,KEN-381371178650,Fall–Spring,Ongoing,23
Clinic 6,ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,aloe and vitamin e cornstarch powder 22oz,KEN-381371178650,Fall–Spring,Ongoing,24
Clinic 6,ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,aloe-and-vitamin-e-cornstarch-powder-22oz,KEN-381371178650,Fall–Spring,Ongoing,80
Clinic 6,,travel soap set,,Fall–Spring,As Needed,88
Clinic 6,GEHA OPEN SEASON TOOTHBRUSH 2022,geha open season toothbrsh 222,OS-11870-TBS22,Fall–Spring,Ongoing,59
Clinic 6,,travel soap set,,Fall–Spring,As Needed,95
Clinic 6,ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,aloe and vitamin e cornstarch powder 22oz,KEN-381371178650,Fall–Spring,Ongoing,95
Clinic 6,ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,aloe and vitamin e cornstarch poder 22oz,KEN-381371178650,Fall–Spring,Ongoing,63
Clinic 6,GEHA OPEN SEASON TOOTHBRUSH 2022,geha open season tootbrush 2022,OS-11870-TBS22,Fall–Spring,Ongoing,87
Clinic 6,,tooth care bundle,,Fall–Spring,As Needed,98
Clinic 6,ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,aloe and vitamin e cornstarch powder 22oz,KEN-381371178650,Fall–Spring,Ongoing,87
Clinic 6,ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,loe and vitamin e cornstarch powder 22oz,KEN-381371178650,Fall–Spring,Ongoing,49
Clinic 6,ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,aloeand vitamin e cornstarch powder 22oz,KEN-381371178650,Fall–Spring,Ongoing,88
Clinic 6,GEHA OPEN SEASON TOOTHBRUSH 2022,geha  open  season  tootbrsh  2022,OS-11870-TBS22,Fall–Spring,Ongoing,23
Clinic 6,ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,aloe-and-vitamin-e-cornstarch-powder-22oz,KEN-381371178650,Fall–Spring,Ongoing,68
Clinic 6,,travel soap set,,Fall–Spring,As Needed,71
Clinic 6,ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,aloe-and-vitamin-e-cornstarch-powder-22oz,KEN-381371178650,Fall–Spring,Ongoing,24
Clinic 6,ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,aloe-and-vitamin-e-cornstarch-powder-22oz,KEN-381371178650,Fall–Spring,Ongoing,40
Clinic 6,ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,aloe and vitamin e cornstarch powder 22oz,KEN-381371178650,Fall–Spring,Ongoing,21
Clinic 6,,community hygiene kit,,Fall–Spring,Ongoing,32
Clinic 6,,travel soap set,,Fall–Spring,Ongoing,29
Clinic 6,,tooth care bundle,,Fall–Spring,As Needed,27
Clinic 6,GEHA OPEN SEASON TOOTHBRUSH 2022,geha open season tothbrsh 2022,OS-11870-TBS22,Fall–Spring,Ongoing,22
Clinic 6,,travel soap set,,Fall–Spring,Ongoing,77
Clinic 6,ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,aloe  and  vitamin  e  cornstarch  powder  22oz,KEN-381371178650,Fall–Spring,Ongoing,51
Clinic 6,GEHA OPEN SEASON TOOTHBRUSH 2022,geha open season toothbru sh 2022,OS-11870-TBS22,Fall–Spring,Ongoing,63
Clinic 6,ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,aloe and vitamin e cornstarch powder 22oz,KEN-381371178650,Fall–Spring,Ongoing,63
Clinic 6,ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,aloe and vitamin e cornstarch powder 22oz,KEN-381371178650,Fall–Spring,Ongoing,93
Clinic 6,,tooth care bundle,,Fall–Spring,As Needed,51
Clinic 6,GEHA OPEN SEASON TOOTHBRUSH 2022,geha-open-sason-toothbrsh-2022,OS-11870-TBS22,Fall–Spring,Ongoing,70
Clinic 6,GEHA OPEN SEASON TOOTHBRUSH 2022,geha open season tootbru sh 2022,OS-11870-TBS22,Fall–Spring,Ongoing,45
Clinic 6,,community hygiene kit,,Fall–Spring,As Needed,20
Clinic 6,GEHA OPEN SEASON TOOTHBRUSH 2022,geha open season tothbrush 2022,OS-11870-TBS22,Fall–Spring,Ongoing,63
Clinic 6,GEHA OPEN SEASON TOOTHBRUSH 2022,geha  open  seasontothbrsh  2022,OS-11870-TBS22,Fall–Spring,Ongoing,96
Clinic 6,GEHA OPEN SEASON TOOTHBRUSH 2022,geha openseason toothbru sh 2022,OS-11870-TBS22,Fall–Spring,Ongoing,89
Clinic 6,ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,aloe and vitamin e cornstarch powder 22oz,KEN-381371178650,Fall–Spring,Ongoing,47
Clinic 6,GEHA OPEN SEASON TOOTHBRUSH 2022,gehaopen season toothbru sh 2022,OS-11870-TBS22,Fall–Spring,Ongoing,56
Clinic 6,GEHA OPEN SEASON TOOTHBRUSH 2022,geha open season tothbrs 2022,OS-11870-TBS22,Fall–Spring,Ongoing,77
Clinic 6,,travel soap set,,Fall–Spring,Ongoing,65
Clinic 6,ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,aloe and vitamin e cornstarch powder 22oz,KEN-381371178650,Fall–Spring,Ongoing,38
Clinic 6,,community hygiene kit,,Fall–Spring,Ongoing,32
Clinic 5,,field bandage bundle,,Summer–Fall,Ongoing,46
Clinic 5,PREP SOLUTION CHLORAPREP™ HI-LITE ORANGE™ 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,prep solution chloraprep™ hi-lite orange™ 10.5 ml applicator 2 / 70% strength chg (chlorhexidine gluconate) / isopropyl alcohol sterile,BD-930715,Summer–Fall,Ongoing,23
Clinic 5,,urgent wound kit,,Summer–Fall,Ongoing,15
Clinic 5,PREP SOLUTION CHLORAPREP™ CLEAR 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,prep-solution-chloraprep™-clear-10.5-ml-applicator-2%-/-70%-strength-chg-(chlorhexidine-gluconte)-/-isopropyl-alcohol-sterile,BD-930700,Summer–Fall,Ongoing,29
Clinic 5,,field bandage bundle,,Summer–Fall,As Needed,42
Clinic 5,GEHA OPEN SEASON TOOTHBRUSH 2022,gha open season tothbru sh 2022,OS-11870-TBS22,Summer–Fall,Ongoing,27
Clinic 5,ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,aloe  an  vitamin  e  cornstarch  powder  22oz,KEN-381371178650,Summer–Fall,Ongoing,55
Clinic 5,PREP SOLUTION CHLORAPREP™ CLEAR 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,prep solution chloraprep™ clear 10.5ml applicator 2% / 70% strength chg (chlorhexidine gluconate) / isopropyl alcohol sterile,BD-930700,Summer–Fall,Ongoing,17
Clinic 5,CHLORHEXIDINE GLUCONATE 2% W/V AND ISOPROPYL ALCOHOL 70% V/V  NON-STERILE BULK,chlorhexidine gluconate 2% w/v and isopropyl alcohol 70% v/v  non-sterile bulk,BD-930815NSB,Summer–Fall,Ongoing,6
Clinic 5,ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,aloe and vitamin e cornstarch powder 22oz,KEN-381371178650,Summer–Fall,Ongoing,88
Clinic 5,,first-aid refill,,Summer–Fall,Ongoing,35
Clinic 5,GEHA OPEN SEASON TOOTHBRUSH 2022,geha open season toothbruh 2022,OS-11870-TBS22,Summer–Fall,Ongoing,72
Clinic 5,ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,aloe and vitamin e cornstarch powder 22oz,KEN-381371178650,Summer–Fall,Ongoing,27
Clinic 5,,first-aid refill,,Summer–Fall,Ongoing,37
Clinic 5,ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,aloe and vitamin e cornstarch powder 22oz,KEN-381371178650,Summer–Fall,Ongoing,40
Clinic 5,GEHA OPEN SEASON TOOTHBRUSH 2022,geha open season tothbrsh 2022,OS-11870-TBS22,Summer–Fall,Ongoing,83
Clinic 5,,urgent wound kit,,Summer–Fall,Ongoing,19
Clinic 5,GEHA OPEN SEASON TOOTHBRUSH 2022,geha open season tothbrush 2022,OS-11870-TBS22,Summer–Fall,Ongoing,57
Clinic 5,GEHA OPEN SEASON TOOTHBRUSH 2022,geha ope season toothbrush 2022,OS-11870-TBS22,Summer–Fall,Ongoing,55
Clinic 5,SYRINGE 3ML LUER LOK S/C STERILE,syringe 3ml luer lok s/c sterile,BD-309657,Summer–Fall,Ongoing,9
Clinic 5,GEHA OPEN SEASON TOOTHBRUSH 2022,geha-ope-season-tothbrsh-2022,OS-11870-TBS22,Summer–Fall,Ongoing,66
Clinic 5,ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,aloe  and  vitamin  e  cornstarch  powder  22oz,KEN-381371178650,Summer–Fall,Ongoing,90
Clinic 5,CHLORHEXIDINE GLUCONATE 2% W/V AND ISOPROPYL ALCOHOL 70% V/V  NON-STERILE BULK,chlorhexidine gluconate 2% w/v and isopropyl alcohol 70% v/v  non-sterile bulk,BD-930815NSB,Summer–Fall,Ongoing,8
Clinic 5,SYRINGE 3ML LUER LOK S/C STERILE,syringe 3ml luer lok s/c sterle,BD-309657,Summer–Fall,Ongoing,13
Clinic 5,GEHA OPEN SEASON TOOTHBRUSH 2022,geha  open  season  toothbru  sh  2022,OS-11870-TBS22,Summer–Fall,Ongoing,78
Clinic 5,PREP SOLUTION CHLORAPREP™ CLEAR 1 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,prep solution chloraprep™ clear 1 ml applicator 2% / 70% strength chg (chlorhexidine gluconate) / isopropyl alcohol sterile,BD-930480NSB,Summer–Fall,Ongoing,14
Clinic 5,GEHA OPEN SEASON TOOTHBRUSH 2022,geha open season toothbrush 2022,OS-11870-TBS22,Summer–Fall,Ongoing,20
Clinic 5,ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,aloe and vitamin e cornstarch powder 22oz,KEN-381371178650,Summer–Fall,Ongoing,62
Clinic 5,,field bandage bundle,,Summer–Fall,Ongoing,33
Clinic 5,ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,aloe  and  vitamin  e  cornstarch  powder  22oz,KEN-381371178650,Summer–Fall,Ongoing,41
Clinic 5,PREP SOLUTION CHLORAPREP™ CLEAR 1 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,prep solution chloraprep™ clear 1 ml applicator 2% / 70% strength chg (chlorhexidine gluconate) / isopropyl alcohol sterile,BD-930480NSB,Summer–Fall,Ongoing,20
Clinic 5,ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,aloe and vitamin e cornstarch pwder 22oz,KEN-381371178650,Summer–Fall,Ongoing,61
Clinic 5,"NITRILE EXAM GLOVES, POWDER FREE, NON STERILE SIZE MEDIUM AMBIDEXTROUS 100/CT","nitrile exm golves, powder free, non sterile size medium ambidextrous 100/ct",GEN-EG-NITRILE-MD,Summer–Fall,Ongoing,22
Clinic 5,,field bandage bundle,,Summer–Fall,As Needed,16
Clinic 5,PREP SOLUTION CHLORAPREP™ HI-LITE ORANGE™ 3 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,prep solution chloraprep™ hi-lite orange™ 3 ml applicator 2% / 70% strength chg (chlorhexidine gluconate) / isopropyl alcohol sterile,BD-930415,Summer–Fall,Ongoing,15
Clinic 5,GEHA OPEN SEASON TOOTHBRUSH 2022,geha open season toothbrush 2022,OS-11870-TBS22,Summer–Fall,Ongoing,56
Clinic 5,SYRINGE 3ML LUER LOK S/C STERILE,syringe-3ml-luer-lok-s/c-sterile,BD-309657,Summer–Fall,Ongoing,25
Clinic 5,,field bandage bundle,,Summer–Fall,As Needed,46
Clinic 5,PREP SOLUTION CHLORAPREP™ CLEAR 3 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,prep solution chloraprep™ clear 3 ml applicator 2% / 70% strength chg (chlorhexidine gluconate) / isopropyl alcohol sterile,BD-930400,Summer–Fall,Ongoing,9
Clinic 5,PREP SOLUTION CHLORAPREP™ CLEAR 1 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,prep solution chloraprep™ clear 1 ml applicator 2% / 70% strength chg (chlorhexidine gluconate) / isopropyl alcohol sterile,BD-930480NSB,Summer–Fall,Ongoing,26
Clinic 5,,first-aid refill,,Summer–Fall,As Needed,47
Clinic 5,,urgent wound kit,,Summer–Fall,Ongoing,29
Clinic 5,GEHA OPEN SEASON TOOTHBRUSH 2022,geha open season tootbrush 2022,OS-11870-TBS22,Summer–Fall,Ongoing,43
Clinic 5,ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,aloe and vitamin e cornstarch powder 22oz,KEN-381371178650,Summer–Fall,Ongoing,38
Clinic 5,,urgent wound kit,,Summer–Fall,Ongoing,28
Clinic 5,GEHA OPEN SEASON TOOTHBRUSH 2022,geha open season tootbrsh 202,OS-11870-TBS22,Summer–Fall,Ongoing,72
Clinic 5,,field bandage bundle,,Summer–Fall,As Needed,12
Clinic 5,ADHESIVE BANDAGES,adhesive bandages,8137-0046-66E,Summer–Fall,Ongoing,33
