DONOR PARTNER,INBOUND DATE,ITEMIZED LIST,UNITS RECEIVED,UNIT OF MEASURE,DATE REDISTRIBUTED,OUTBOUND RECIPIENT,ITEMIZED LIST.1,UNITS DISTRIBUTED,COMMENT,DONOR
,"April 11, 2025",PREP SOLUTION CHLORAPREP™ SCRUB TEAL™ 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL,,CS.,"May 6, 2025",Clinic 2,,37,,General Hospital A
,"June 17, 2025",PREP SOLUTION CHLORAPREP™ SCRUB TEAL™ 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL,,CS.,"July 5, 2025",Clinic 2,,25,,City Medical Center
,"October 3, 2025",PREP SOLUTION CHLORAPREP™ SCRUB TEAL™ 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL,,CS.,"October 13, 2025",Clinic 2,,31,,General Hospital A
,"January 1, 2023",PREP SOLUTION CHLORAPREP™ CLEAR 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,BOX,"January 14, 2023",Clinic 2,,14,,City Medical Center
,"January 20, 2023",PREP SOLUTION CHLORAPREP™ CLEAR 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,PACK,"January 29, 2023",Clinic 2,,27,,Regional Health Org
,"January 1, 2023",PREP SOLUTION CHLORAPREP™ CLEAR 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,PAIR,"February 22, 2023",Clinic 2,,49,,General Hospital A
,"February 9, 2023",PREP SOLUTION CHLORAPREP™ CLEAR 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,PACK,"March 6, 2023",Clinic 2,,21,,Regional Health Org
,"April 9, 2023",PREP SOLUTION CHLORAPREP™ CLEAR 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,BOX,"April 27, 2023",Clinic 2,,38,,Regional Health Org
,"May 22, 2023",PREP SOLUTION CHLORAPREP™ CLEAR 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,CS.,"June 28, 2023",Clinic 2,,40,,Regional Health Org
,"September 25, 2023",PREP SOLUTION CHLORAPREP™ CLEAR 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,EA.,"October 9, 2023",Clinic 2,,28,,General Hospital A
,"November 27, 2023",PREP SOLUTION CHLORAPREP™ CLEAR 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,EA.,"January 14, 2024",Clinic 2,,27,,City Medical Center
,"February 3, 2024",PREP SOLUTION CHLORAPREP™ CLEAR 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,BOX,"February 20, 2024",Clinic 2,,26,,City Medical Center
,"February 20, 2024",PREP SOLUTION CHLORAPREP™ CLEAR 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,EA.,"April 1, 2024",Clinic 2,,32,,Regional Health Org
,"August 7, 2024",PREP SOLUTION CHLORAPREP™ CLEAR 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,PAIR,"September 16, 2024",Clinic 2,,24,,Regional Health Org
,"September 14, 2024",PREP SOLUTION CHLORAPREP™ CLEAR 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,EA.,"November 1, 2024",Clinic 2,,9,,City Medical Center
,"October 8, 2024",PREP SOLUTION CHLORAPREP™ CLEAR 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,PACK,"November 12, 2024",Clinic 2,,31,,Regional Health Org
,"November 16, 2024",PREP SOLUTION CHLORAPREP™ CLEAR 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,EA.,"December 16, 2024",Clinic 2,,18,,Regional Health Org
,"December 21, 2024",PREP SOLUTION CHLORAPREP™ CLEAR 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,RL.,"January 10, 2025",Clinic 2,,23,,City Medical Center
,"January 29, 2025",PREP SOLUTION CHLORAPREP™ CLEAR 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,CS.,"February 7, 2025",Clinic 2,,20,,General Hospital A
,"February 14, 2025",PREP SOLUTION CHLORAPREP™ CLEAR 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,EA.,"March 31, 2025",Clinic 2,,13,,General Hospital A
,"June 6, 2025",PREP SOLUTION CHLORAPREP™ CLEAR 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,BOX,"June 15, 2025",Clinic 2,,22,,General Hospital A
,"June 16, 2025",PREP SOLUTION CHLORAPREP™ CLEAR 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,CS.,"August 12, 2025",Clinic 2,,32,,Regional Health Org
,"July 19, 2025",PREP SOLUTION CHLORAPREP™ CLEAR 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,RL.,"September 11, 2025",Clinic 2,,39,,General Hospital A
,"August 30, 2025",PREP SOLUTION CHLORAPREP™ CLEAR 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,PACK,"September 27, 2025",Clinic 2,,18,,General Hospital A
,"January 1, 2023",SYRINGE 60ML LL LATEX FREE CONFIGURE,,BOX,"January 28, 2023",Clinic 9,,23,,City Medical Center
,"February 18, 2023",SYRINGE 60ML LL LATEX FREE CONFIGURE,,CS.,"February 27, 2023",Clinic 9,,29,,General Hospital A
,"April 21, 2023",SYRINGE 60ML LL LATEX FREE CONFIGURE,,PAIR,"May 17, 2023",Clinic 9,,45,,City Medical Center
,"May 27, 2023",SYRINGE 60ML LL LATEX FREE CONFIGURE,,PACK,"June 14, 2023",Clinic 9,,40,,City Medical Center
,"June 15, 2023",SYRINGE 60ML LL LATEX FREE CONFIGURE,,PAIR,"July 17, 2023",Clinic 9,,39,,General Hospital A
,"August 20, 2023",SYRINGE 60ML LL LATEX FREE CONFIGURE,,EA.,"September 16, 2023",Clinic 9,,31,,General Hospital A
,"September 17, 2023",SYRINGE 60ML LL LATEX FREE CONFIGURE,,PACK,"October 11, 2023",Clinic 9,,9,,City Medical Center
,"December 17, 2023",SYRINGE 60ML LL LATEX FREE CONFIGURE,,PAIR,"February 12, 2024",Clinic 9,,47,,General Hospital A
,"February 6, 2024",SYRINGE 60ML LL LATEX FREE CONFIGURE,,EA.,"April 4, 2024",Clinic 9,,23,,City Medical Center
,"April 14, 2024",SYRINGE 60ML LL LATEX FREE CONFIGURE,,CS.,"May 1, 2024",Clinic 9,,9,,General Hospital A
,"May 28, 2024",SYRINGE 60ML LL LATEX FREE CONFIGURE,,RL.,"July 6, 2024",Clinic 9,,28,,City Medical Center
,"July 12, 2024",SYRINGE 60ML LL LATEX FREE CONFIGURE,,EA.,"August 6, 2024",Clinic 9,,45,,Regional Health Org
,"September 25, 2024",SYRINGE 60ML LL LATEX FREE CONFIGURE,,CS.,"October 14, 2024",Clinic 9,,30,,General Hospital A
,"October 25, 2024",SYRINGE 60ML LL LATEX FREE CONFIGURE,,BOX,"December 2, 2024",Clinic 9,,48,,Regional Health Org
,"January 4, 2025",SYRINGE 60ML LL LATEX FREE CONFIGURE,,PAIR,"January 15, 2025",Clinic 9,,30,,Regional Health Org
,"February 5, 2025",SYRINGE 60ML LL LATEX FREE CONFIGURE,,CS.,"March 1, 2025",Clinic 9,,32,,General Hospital A
,"April 12, 2025",SYRINGE 60ML LL LATEX FREE CONFIGURE,,CS.,"April 19, 2025",Clinic 9,,47,,Regional Health Org
,"April 4, 2025",SYRINGE 60ML LL LATEX FREE CONFIGURE,,PAIR,"May 21, 2025",Clinic 9,,38,,City Medical Center
,"June 15, 2025",SYRINGE 60ML LL LATEX FREE CONFIGURE,,CS.,"July 14, 2025",Clinic 9,,36,,City Medical Center
,"January 1, 2023",PREP SOLUTION CHLORAPREP™ CLEAR 1 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,PACK,"January 3, 2023",Clinic 9,,45,,City Medical Center
,"March 4, 2023",PREP SOLUTION CHLORAPREP™ CLEAR 1 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,PACK,"March 23, 2023",Clinic 9,,11,,General Hospital A
,"January 29, 2023",PREP SOLUTION CHLORAPREP™ CLEAR 1 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,CS.,"March 29, 2023",Clinic 9,,41,,General Hospital A
,"March 22, 2023",PREP SOLUTION CHLORAPREP™ CLEAR 1 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,BOX,"April 29, 2023",Clinic 9,,35,,General Hospital A
,"July 31, 2023",PREP SOLUTION CHLORAPREP™ CLEAR 1 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,PACK,"August 13, 2023",Clinic 9,,23,,City Medical Center
,"August 28, 2023",PREP SOLUTION CHLORAPREP™ CLEAR 1 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,EA.,"October 20, 2023",Clinic 9,,26,,City Medical Center
,"September 11, 2023",PREP SOLUTION CHLORAPREP™ CLEAR 1 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,EA.,"October 31, 2023",Clinic 9,,48,,Regional Health Org
,"October 13, 2023",PREP SOLUTION CHLORAPREP™ CLEAR 1 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,PAIR,"November 17, 2023",Clinic 9,,7,,City Medical Center
,"January 21, 2024",PREP SOLUTION CHLORAPREP™ CLEAR 1 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,RL.,"January 29, 2024",Clinic 9,,12,,General Hospital A
,"December 28, 2023",PREP SOLUTION CHLORAPREP™ CLEAR 1 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,EA.,"February 25, 2024",Clinic 9,,21,,General Hospital A
,"March 31, 2024",PREP SOLUTION CHLORAPREP™ CLEAR 1 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,PACK,"April 7, 2024",Clinic 9,,14,,Regional Health Org
,"May 14, 2024",PREP SOLUTION CHLORAPREP™ CLEAR 1 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,RL.,"June 28, 2024",Clinic 9,,32,,City Medical Center
,"June 3, 2024",PREP SOLUTION CHLORAPREP™ CLEAR 1 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,PAIR,"July 24, 2024",Clinic 9,,42,,General Hospital A
,"July 17, 2024",PREP SOLUTION CHLORAPREP™ CLEAR 1 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,PAIR,"August 9, 2024",Clinic 9,,9,,Regional Health Org
,"August 22, 2024",PREP SOLUTION CHLORAPREP™ CLEAR 1 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,CS.,"October 9, 2024",Clinic 9,,38,,City Medical Center
,"September 16, 2024",PREP SOLUTION CHLORAPREP™ CLEAR 1 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,EA.,"November 8, 2024",Clinic 9,,17,,City Medical Center
,"November 17, 2024",PREP SOLUTION CHLORAPREP™ CLEAR 1 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,EA.,"December 6, 2024",Clinic 9,,33,,City Medical Center
,"December 6, 2024",PREP SOLUTION CHLORAPREP™ CLEAR 1 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,PAIR,"January 15, 2025",Clinic 9,,18,,Regional Health Org
,"January 20, 2025",PREP SOLUTION CHLORAPREP™ CLEAR 1 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,RL.,"February 23, 2025",Clinic 9,,23,,City Medical Center
,"February 12, 2025",PREP SOLUTION CHLORAPREP™ CLEAR 1 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,RL.,"March 20, 2025",Clinic 9,,22,,General Hospital A
,"March 2, 2025",PREP SOLUTION CHLORAPREP™ CLEAR 1 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,PACK,"April 1, 2025",Clinic 9,,41,,City Medical Center
,"February 10, 2025",PREP SOLUTION CHLORAPREP™ CLEAR 1 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,RL.,"April 10, 2025",Clinic 9,,30,,Regional Health Org
,"March 20, 2025",PREP SOLUTION CHLORAPREP™ CLEAR 1 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,EA.,"May 1, 2025",Clinic 9,,19,,Regional Health Org
,"May 12, 2025",PREP SOLUTION CHLORAPREP™ CLEAR 1 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,PAIR,"June 28, 2025",Clinic 9,,10,,General Hospital A
,"July 29, 2025",PREP SOLUTION CHLORAPREP™ CLEAR 1 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,BOX,"September 14, 2025",Clinic 9,,44,,General Hospital A
,"September 10, 2025",PREP SOLUTION CHLORAPREP™ CLEAR 1 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,CS.,"September 26, 2025",Clinic 9,,27,,Regional Health Org
,"September 14, 2025",PREP SOLUTION CHLORAPREP™ CLEAR 1 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,RL.,"October 17, 2025",Clinic 9,,36,,General Hospital A
,"January 1, 2023",ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,,RL.,"February 5, 2023",Clinic 9,,110,,Regional Health Org
,"February 5, 2023",ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,,EA.,"March 29, 2023",Clinic 9,,50,,Regional Health Org
,"February 26, 2023",ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,,EA.,"April 21, 2023",Clinic 9,,34,,Regional Health Org
,"May 20, 2023",ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,,RL.,"June 11, 2023",Clinic 9,,87,,General Hospital A
,"September 1, 2023",ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,,RL.,"October 26, 2023",Clinic 9,,54,,Regional Health Org
,"September 20, 2023",ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,,CS.,"November 13, 2023",Clinic 9,,98,,City Medical Center
,"February 2, 2024",ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,,CS.,"March 24, 2024",Clinic 9,,93,,General Hospital A
,"April 4, 2024",ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,,RL.,"April 15, 2024",Clinic 9,,76,,City Medical Center
,"March 21, 2024",ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,,PACK,"April 26, 2024",Clinic 9,,114,,General Hospital A
,"April 17, 2024",ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,,EA.,"May 18, 2024",Clinic 9,,94,,General Hospital A
,"May 30, 2024",ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,,EA.,"June 8, 2024",Clinic 9,,30,,General Hospital A
,"June 12, 2024",ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,,BOX,"June 22, 2024",Clinic 9,,75,,General Hospital A
,"July 24, 2024",ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,,PAIR,"August 13, 2024",Clinic 9,,83,,Regional Health Org
,"September 4, 2024",ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,,PAIR,"October 1, 2024",Clinic 9,,98,,General Hospital A
,"October 7, 2024",ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,,CS.,"November 30, 2024",Clinic 9,,31,,Regional Health Org
,"January 29, 2025",ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,,EA.,"March 3, 2025",Clinic 9,,112,,General Hospital A
,"April 4, 2025",ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,,BOX,"May 1, 2025",Clinic 9,,94,,City Medical Center
,"March 20, 2025",ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,,CS.,"May 15, 2025",Clinic 9,,61,,Regional Health Org
,"April 14, 2025",ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,,EA.,"June 9, 2025",Clinic 9,,33,,City Medical Center
,"May 3, 2025",ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,,RL.,"June 19, 2025",Clinic 9,,29,,City Medical Center
,"August 3, 2025",ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,,BOX,"September 9, 2025",Clinic 9,,49,,Regional Health Org
,"March 15, 2023",TOOTHPASTE - INDIVIDUALLY BOXED,,PAIR,"April 4, 2023",Clinic 9,,84,,General Hospital A
,"March 25, 2023",TOOTHPASTE - INDIVIDUALLY BOXED,,CS.,"May 21, 2023",Clinic 9,,106,,General Hospital A
,"July 3, 2023",TOOTHPASTE - INDIVIDUALLY BOXED,,BOX,"July 24, 2023",Clinic 9,,68,,Regional Health Org
,"July 15, 2023",TOOTHPASTE - INDIVIDUALLY BOXED,,BOX,"August 13, 2023",Clinic 9,,79,,Regional Health Org
,"August 13, 2023",TOOTHPASTE - INDIVIDUALLY BOXED,,PAIR,"September 14, 2023",Clinic 9,,28,,City Medical Center
,"October 31, 2023",TOOTHPASTE - INDIVIDUALLY BOXED,,PACK,"November 24, 2023",Clinic 9,,42,,City Medical Center
,"December 8, 2023",TOOTHPASTE - INDIVIDUALLY BOXED,,PACK,"December 15, 2023",Clinic 9,,75,,General Hospital A
,"February 28, 2024",TOOTHPASTE - INDIVIDUALLY BOXED,,BOX,"April 7, 2024",Clinic 9,,92,,General Hospital A
,"March 18, 2024",TOOTHPASTE - INDIVIDUALLY BOXED,,CS.,"April 15, 2024",Clinic 9,,45,,General Hospital A
,"April 21, 2024",TOOTHPASTE - INDIVIDUALLY BOXED,,CS.,"May 31, 2024",Clinic 9,,51,,Regional Health Org
,"September 23, 2024",TOOTHPASTE - INDIVIDUALLY BOXED,,PACK,"October 13, 2024",Clinic 9,,91,,City Medical Center
,"January 17, 2025",TOOTHPASTE - INDIVIDUALLY BOXED,,PACK,"March 4, 2025",Clinic 9,,119,,City Medical Center
,"March 30, 2025",TOOTHPASTE - INDIVIDUALLY BOXED,,CS.,"May 6, 2025",Clinic 9,,35,,General Hospital A
,"May 5, 2025",TOOTHPASTE - INDIVIDUALLY BOXED,,PACK,"June 3, 2025",Clinic 9,,85,,General Hospital A
,"July 10, 2025",TOOTHPASTE - INDIVIDUALLY BOXED,,PACK,"July 19, 2025",Clinic 9,,86,,City Medical Center
,"July 12, 2025",TOOTHPASTE - INDIVIDUALLY BOXED,,PAIR,"July 26, 2025",Clinic 9,,101,,City Medical Center
,"July 28, 2025",TOOTHPASTE - INDIVIDUALLY BOXED,,PACK,"August 11, 2025",Clinic 9,,106,,Regional Health Org
,"January 28, 2023",SAFETY NEEDLE 25G 5/8IN FLIPLOCK,,CS.,"March 9, 2023",Clinic 9,,9,,City Medical Center
,"February 27, 2023",SAFETY NEEDLE 25G 5/8IN FLIPLOCK,,BOX,"March 21, 2023",Clinic 9,,41,,City Medical Center
,"March 20, 2023",SAFETY NEEDLE 25G 5/8IN FLIPLOCK,,PACK,"April 7, 2023",Clinic 9,,41,,City Medical Center
,"April 27, 2023",SAFETY NEEDLE 25G 5/8IN FLIPLOCK,,BOX,"May 15, 2023",Clinic 9,,41,,General Hospital A
,"April 15, 2023",SAFETY NEEDLE 25G 5/8IN FLIPLOCK,,CS.,"June 7, 2023",Clinic 9,,42,,General Hospital A
,"May 29, 2023",SAFETY NEEDLE 25G 5/8IN FLIPLOCK,,EA.,"July 9, 2023",Clinic 9,,20,,Regional Health Org
,"July 20, 2023",SAFETY NEEDLE 25G 5/8IN FLIPLOCK,,PAIR,"August 11, 2023",Clinic 9,,42,,General Hospital A
,"July 18, 2023",SAFETY NEEDLE 25G 5/8IN FLIPLOCK,,BOX,"September 8, 2023",Clinic 9,,22,,Regional Health Org
,"September 10, 2023",SAFETY NEEDLE 25G 5/8IN FLIPLOCK,,RL.,"October 10, 2023",Clinic 9,,29,,General Hospital A
,"September 30, 2023",SAFETY NEEDLE 25G 5/8IN FLIPLOCK,,RL.,"October 19, 2023",Clinic 9,,36,,City Medical Center
,"November 11, 2023",SAFETY NEEDLE 25G 5/8IN FLIPLOCK,,BOX,"December 4, 2023",Clinic 9,,45,,City Medical Center
,"January 25, 2024",SAFETY NEEDLE 25G 5/8IN FLIPLOCK,,EA.,"March 10, 2024",Clinic 9,,46,,Regional Health Org
,"March 11, 2024",SAFETY NEEDLE 25G 5/8IN FLIPLOCK,,CS.,"April 18, 2024",Clinic 9,,22,,Regional Health Org
,"May 6, 2024",SAFETY NEEDLE 25G 5/8IN FLIPLOCK,,CS.,"May 24, 2024",Clinic 9,,35,,General Hospital A
,"April 13, 2024",SAFETY NEEDLE 25G 5/8IN FLIPLOCK,,PAIR,"June 10, 2024",Clinic 9,,19,,Regional Health Org
,"July 30, 2024",SAFETY NEEDLE 25G 5/8IN FLIPLOCK,,BOX,"August 30, 2024",Clinic 9,,40,,General Hospital A
,"August 26, 2024",SAFETY NEEDLE 25G 5/8IN FLIPLOCK,,PAIR,"September 22, 2024",Clinic 9,,37,,City Medical Center
,"November 1, 2024",SAFETY NEEDLE 25G 5/8IN FLIPLOCK,,PACK,"November 19, 2024",Clinic 9,,21,,General Hospital A
,"November 22, 2024",SAFETY NEEDLE 25G 5/8IN FLIPLOCK,,PAIR,"December 1, 2024",Clinic 9,,13,,General Hospital A
,"November 26, 2024",SAFETY NEEDLE 25G 5/8IN FLIPLOCK,,EA.,"December 15, 2024",Clinic 9,,43,,City Medical Center
,"January 12, 2025",SAFETY NEEDLE 25G 5/8IN FLIPLOCK,,CS.,"February 5, 2025",Clinic 9,,23,,Regional Health Org
,"April 5, 2025",SAFETY NEEDLE 25G 5/8IN FLIPLOCK,,CS.,"April 15, 2025",Clinic 9,,37,,General Hospital A
,"March 22, 2025",SAFETY NEEDLE 25G 5/8IN FLIPLOCK,,EA.,"May 8, 2025",Clinic 9,,21,,Regional Health Org
,"May 2, 2025",SAFETY NEEDLE 25G 5/8IN FLIPLOCK,,RL.,"June 22, 2025",Clinic 9,,19,,General Hospital A
,"July 15, 2025",SAFETY NEEDLE 25G 5/8IN FLIPLOCK,,CS.,"July 22, 2025",Clinic 9,,17,,General Hospital A
,"July 18, 2025",SAFETY NEEDLE 25G 5/8IN FLIPLOCK,,CS.,"August 22, 2025",Clinic 9,,30,,City Medical Center
,"January 1, 2023",PREP SOLUTION CHLORAPREP™ CLEAR 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,RL.,"January 2, 2023",Clinic 9,,34,,City Medical Center
,"January 1, 2023",PREP SOLUTION CHLORAPREP™ CLEAR 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,BOX,"February 11, 2023",Clinic 9,,29,,Regional Health Org
,"March 27, 2023",PREP SOLUTION CHLORAPREP™ CLEAR 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,CS.,"May 1, 2023",Clinic 9,,17,,General Hospital A
,"October 25, 2023",PREP SOLUTION CHLORAPREP™ CLEAR 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,RL.,"November 4, 2023",Clinic 9,,25,,Regional Health Org
,"January 3, 2024",PREP SOLUTION CHLORAPREP™ CLEAR 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,RL.,"January 31, 2024",Clinic 9,,16,,Regional Health Org
,"February 18, 2024",PREP SOLUTION CHLORAPREP™ CLEAR 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,PAIR,"April 1, 2024",Clinic 9,,8,,City Medical Center
,"April 9, 2024",PREP SOLUTION CHLORAPREP™ CLEAR 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,RL.,"April 21, 2024",Clinic 9,,37,,Regional Health Org
